Fecha,Estacion_mm,IMERG_v6B_mm,CR2MET_v2_mm,RFMEP_v2_mm,ERA5_mm,CHIRPS_v2_mm,TMPA-3B42v7_mm
1979-12-20,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-21,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-22,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-23,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-24,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-25,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-26,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-27,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-28,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-29,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-30,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-31,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-01,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-02,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-03,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-04,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-05,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-06,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-07,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-08,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-09,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-10,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-11,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-12,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-13,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-14,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-15,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-16,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-17,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-18,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-19,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-20,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-21,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-22,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-23,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-24,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-25,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-26,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-27,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-28,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-29,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-30,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-01-31,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-02-01,-9999,-9999,2.44,-9999,-9999,-9999,-9999
1980-02-02,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-02-03,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-02-04,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-02-05,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-02-06,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-02-07,-9999,-9999,0,-9999,-9999,-9999,-9999
1980-02-08,-9999,-9999,0,-9999,-9999,-9999,-9999
